;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;
215;;;;;;;;;;;;;;;;;;;;;;;;
216;;;;;;;;;;;;;;;;;;;;;;;;
217;;;;;;;;;;;;;;;;;;;;;;;;
218;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
219;;;;;;;;;;;;;;;;;;;;;;;;
220;1;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;13
221;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
222;;;;;;;;;;;;;;;;;;;;;;;;
223;;;;;;;;;;;;;;;;;;;;;;;;
224;;;;;;;;;;;;;;;;;;;;;;;;
225;;;;;;;;;;;;;;;;;;;;;;;;
226;;;;;;;;;;;;;;;;;;;;;;;;
227;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;;1;18
228;;;;;;;;;;;;;;;;;;;;;;;;
229;;;;;;;;;;;;;;;;;;;;;;;;
230;;;;;;;;;;;;;;;;;;;;;;;;
231;;;;;;;;;;;;;;;;;;;;;;;;
232;;;;;;;;;;;;;;;;;;;;;;;;
233;;;;;;;;;;;;;;;;;;;;;;;;
234;;;;;;;;;;;;;;;;;;;;;;;;
235;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
236;;;;;;;;;;;;;;;;;;;;;;;;
237;;;;;;;;;;;;;;;;;;;;;;;;
238;1;1;1;;1;1;1;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;19
239;;;;;;;;;;;;;;;;;;;;;;;;
240;;;;;;;;;;;;;;;;;;;;;;;;
241;;;;;;;;;;;;;;;;;;;;;;;;
242;;;;;;;;;;;;;;;;;;;;;;;;
243;1;1;1;;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;21
244;;;;;;;;;;;;;;;;;;;;;;;;
245;;;;;;;;;;;;;;;;;;;;;;;;
246;1;;;;1;1;1;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;17
247;;;;;;;;;;;;;;;;;;;;;;;;
248;;;;;;;;;;;;;;;;;;;;;;;;
249;;;;;;;;;;;;;;;;;;;;;;;;
250;1;1;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;15
251;;;;;;;;;;;;;;;;;;;;;;;;
252;;;;;;;;;;;;;;;;;;;;;;;;
253;;;;;;;;;;;;;;;;;;;;;;;;
254;1;;;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;19
255;1;1;1;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;20
256;;;;;;;;;;;;;;;;;;;;;;;;
257;;;;;;;;;;;;;;;;;;;;;;;;
258;;;;;;;;;;;;;;;;;;;;;;;;
259;;;;;;;;;;;;;;;;;;;;;;;;
260;;;;;;;;;;;;;;;;;;;;;;;;
261;;;;;;;;;;;;;;;;;;;;;;;;
262;;;;;;;;;;;;;;;;;;;;;;;;
263;;;;;;;;;;;;;;;;;;;;;;;;
264;;;;;;;;;;;;;;;;;;;;;;;;
265;;;;;;;;;;;;;;;;;;;;;;;;
266;;;;;;;;;;;;;;;;;;;;;;;;
267;1;;;;;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
268;;;;;;;;;;;;;;;;;;;;;;;;
269;;;;;;;;;;;;;;;;;;;;;;;;
270;;;;;;;;;;;;;;;;;;;;;;;;
271;;;;;;;;;;;;;;;;;;;;;;;;
272;1;;;;1;;;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;16
273;;;;;;;;;;;;;;;;;;;;;;;;
274;;;;;;;;;;;;;;;;;;;;;;;;
275;;;;;;;;;;;;;;;;;;;;;;;;
276;1;;1;;1;1;;;;;;1;1;1;1;1;1;1;1;1;1;1;;15
277;;;;;;;;;;;;;;;;;;;;;;;;
278;;;;;;;;;;;;;;;;;;;;;;;;
279;;;;;;;;;;;;;;;;;;;;;;;;
280;;;;;;;;;;;;;;;;;;;;;;;;
281;;;;;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;1;1;17
282;1;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;13
283;;;;;;;;;;;;;;;;;;;;;;;;
284;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
285;;;;;;;;;;;;;;;;;;;;;;;;
286;1;;1;;1;;;1;1;;1;1;1;1;1;1;1;1;;1;;1;1;16
287;1;;;;1;1;;;;;;1;1;1;1;1;1;;1;;1;1;1;13
288;;;;;;;;;;;;;;;;;;;;;;;;
289;;;;;;;;;;;;;;;;;;;;;;;;
290;;;;;;;;;;;;;;;;;;;;;;;;
291;;;;;;;;;;;;;;;;;;;;;;;;
292;;;;;;;;;;;;;;;;;;;;;;;;
293;;;;;;;;;;;;;;;;;;;;;;;;
294;;;;;;;;;;;;;;;;;;;;;;;;
295;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
296;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;14
297;1;;;;1;;;;;1;1;1;1;1;1;1;1;1;1;;1;1;1;15
