;Attribute1;Attribute2;Attribute3;Attribute4;Attribute5;Attribute6;Attribute7;Attribute8;Attribute9;Attribute10;Attribute11;Attribute12;Attribute13;Attribute14;Attribute15;Attribute16;Attribute17;Attribute18;Attribute19;Attribute20
178;1;0,812961113;0;1;0,210092495;1;1;0;0;0;0;0;0,091289233;0;0;0;0;0;0;0
179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
182;1;0,975553336;0;0;0,128519339;1;0;1,807181779;0;0;0,895466535;0;0,912892325;1;0;0;0;0;0;0
183;1;2,194995005;0;1;0,692206493;1;0;0,90359089;1;0;0;0;1,186760023;1;0;1,690308509;0;0;1;0
184;1;0,487776668;1;1;1,327811205;0;1;0,90359089;0;0;0;1;0,456446163;1;1;1,690308509;1;0;0;0
185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
186;0;0;0;1;1,790614007;1;1;0,90359089;0;0;0,895466535;0;0,36515693;1;1;0;1;0;0;0
187;1;0,975553336;0;1;0,543377103;1;1;0;0;0;0;1;0,639024628;0;1;0;0;2,523973287;0;0
188;1;0,975553336;1;1;1,094745046;0;1;0;1;0;0,895466535;1;0,273867698;1;1;0;1;0;0;0
189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
191;1;0;0;1;1,064779397;1;1;0,90359089;0;0;1,790933071;0;0,091289233;1;1;0;0;0;0;0
192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
194;1;1,21944167;1;1;0,763125196;0;0;0,90359089;1;0;2,686399606;1;0,091289233;0;1;0;0;0;0;0
195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
197;1;0,487776668;0;1;0,036957634;1;0;0;0;0;1,790933071;1;0,456446163;0;0;0;1;2,523973287;0;0
198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
media;0,29;0,38696949;0,215;0,305;0,267350191;0,205;0,255;0,329810675;0,195;0,065;0,322367953;0,245;0,34370396;0,13;0,17;0,287352447;0,175;0,151438397;0,12;0
desvpad;0,453762052;0,694795968;0,410822346;0,460407428;0,530791743;0,403701622;0,435861216;0,683257527;0,396200707;0,246525861;0,693856566;0,4300872;0,678370373;0,336303434;0,375632799;0,699183197;0,379967104;0,599410445;0,324961536;0
